date,open,high,low,close,volume,sentiment
2025-01-03,30.079999923706055,30.079999923706055,29.805999755859375,29.805999755859375,91,14.841678658435795
2025-01-06,30.3700008392334,30.459999084472656,29.959999084472656,30.341999053955078,186,18.953633658343787
2025-01-07,30.44700050354004,30.44700050354004,30.44700050354004,30.44700050354004,6,-1.03626864405525
2025-01-08,30.524999618530273,30.649999618530273,30.280000686645508,30.45199966430664,46,1.1475736052562449
2025-01-09,30.96500015258789,30.96500015258789,30.735000610351562,30.791000366210938,192,0.0
2025-01-10,31.53499984741211,31.53499984741211,31.09000015258789,31.090999603271484,60,1.93526288705117
2025-01-13,30.274999618530273,30.274999618530273,30.090999603271484,30.090999603271484,2,-10.50323287230537
2025-01-14,30.19499969482422,30.19499969482422,30.131999969482422,30.131999969482422,66,19.05951267913946
2025-01-15,30.8799991607666,31.350000381469727,30.875,31.319000244140625,21,29.38850068468948
2025-01-16,31.385000228881836,31.674999237060547,31.329999923706055,31.523000717163086,109,10.563408429380456
2025-01-17,31.200000762939453,31.209999084472656,30.951000213623047,30.951000213623047,5,-4.6707919275515595
2025-01-21,30.799999237060547,31.31100082397461,30.774999618530273,31.31100082397461,215,36.58766584413701
2025-01-22,30.9950008392334,31.23900032043457,30.9950008392334,31.23900032043457,7,5.82843305027656
2025-01-23,30.399999618530273,30.67300033569336,30.399999618530273,30.67300033569336,2,2.23343286661185
2025-01-24,31.075000762939453,31.075000762939453,30.989999771118164,31.023000717163086,112,20.324481592845025
2025-01-27,30.253999710083008,30.253999710083008,30.253999710083008,30.253999710083008,111,-16.27640226378883
2025-01-28,30.364999771118164,30.726999282836914,30.364999771118164,30.726999282836914,132,11.244107822144345
2025-01-29,31.238000869750977,31.238000869750977,31.238000869750977,31.238000869750977,263,5.45283031321145
2025-01-30,31.479999542236328,32.599998474121094,31.469999313354492,32.36399841308594,557,27.159741327146154
2025-01-31,32.67499923706055,32.7599983215332,32.11000061035156,32.12799835205078,162,-5.21345973414478
2025-02-03,32.14500045776367,32.459999084472656,31.6299991607666,32.391998291015625,444,-5.873636040716075
2025-02-04,32.209999084472656,32.88800048828125,32.1150016784668,32.88800048828125,744,32.36745266650473
2025-02-05,32.80500030517578,32.856998443603516,32.6349983215332,32.856998443603516,42,18.31349585495559
